crop_path,class_id,image_id,x,y,z,R1,R2,R3,R4,R5,R6,R7,R8,R9
Phase3_RGB_Crops/cls10_img1108_det0.png,10,1108,0.11768907085,-0.0282648845,0.92788160063,-0.99316502,-0.109358,0.0407957,-0.102298,0.64725298,-0.75537997,0.0562014,-0.75439,-0.65401602
Phase3_RGB_Crops/cls11_img0519_det0.png,11,0519,-0.01663995147,-0.040222911709999996,0.67475158161,-0.53398901,-0.84420699,-0.0465841,-0.69616401,0.47027701,-0.54239702,0.479803,-0.257204,-0.83882999
Phase3_RGB_Crops/cls08_img0753_det0.png,08,0753,-0.04163692185,-0.05992963719,0.6546862588300001,-0.956595,0.24997801,-0.149792,0.29142001,0.81894898,-0.49436501,-0.00090803,-0.51656002,-0.856251
Phase3_RGB_Crops/cls02_img1157_det0.png,02,1157,0.1058913941,-0.02109613551,0.73786450068,-0.50248939,0.82771976,-0.24981202,0.63978319,0.1616249,-0.75138327,-0.58155066,-0.53738056,-0.61077034
Phase3_RGB_Crops/cls10_img0153_det0.png,10,0153,-0.04859561003,0.03074420199,1.0294464139900001,-0.63165599,0.76877201,-0.0999974,0.64681298,0.45150101,-0.61463797,-0.42736799,-0.45291999,-0.78244501
Phase3_RGB_Crops/cls05_img0057_det0.png,05,0057,0.24357048735,-0.029452408240000002,0.9630722528,0.84208399,-0.49110499,-0.222958,-0.41545299,-0.32701799,-0.84879798,0.34393799,0.80738801,-0.479408
Phase3_RGB_Crops/cls09_img0466_det0.png,09,0466,0.40344616901,-0.130475767,0.96218356456,-0.46258199,-0.84528798,-0.267407,-0.46825799,0.489057,-0.735906,0.75283003,-0.215202,-0.62204099
Phase3_RGB_Crops/cls05_img0316_det0.png,05,0316,-0.014333591699999999,-0.08393739657,0.7674969591699999,0.99687397,-0.0743047,0.0268465,-0.0387528,-0.75599402,-0.65342999,0.0688487,0.65034699,-0.75651097
Phase3_RGB_Crops/cls06_img0325_det0.png,06,0325,0.00199202897,-0.13889167902,0.7979800707000001,0.248631,0.82503003,-0.50745302,0.321693,-0.564502,-0.76016498,-0.91361701,0.0257566,-0.40575901
Phase3_RGB_Crops/cls11_img0421_det0.png,11,0421,-0.04336177746,-0.059393781769999994,0.72330733463,0.57915401,0.81403399,-0.0439337,0.169349,-0.17285199,-0.97027999,-0.79743397,0.554501,-0.23796301
Phase3_RGB_Crops/cls05_img0584_det0.png,05,0584,-0.1041605915,-0.09662629718,0.822998908,-0.36319,0.926934,0.0942666,0.76167399,0.353654,-0.54293799,-0.53660601,-0.12538999,-0.83446503
Phase3_RGB_Crops/cls13_img0997_det0.png,13,0997,-0.11646838477,-0.0696185838,0.90093644193,0.83031398,0.55677497,0.0240804,0.331857,-0.45925799,-0.82398599,-0.447716,0.69215798,-0.56609797
Phase3_RGB_Crops/cls12_img0773_det0.png,12,0773,-0.01869840455,-0.042247958179999996,0.80756314963,0.0563128,0.99822497,0.0194021,0.88944697,-0.0413295,-0.455165,-0.45355499,0.0428888,-0.89019501
Phase3_RGB_Crops/cls04_img0983_det0.png,04,0983,-0.03149143363,-0.062291233849999995,0.7084830997499999,-0.278038,-0.95955199,-0.0442084,-0.26820499,0.121743,-0.95563799,0.92236698,-0.253847,-0.291206
Phase3_RGB_Crops/cls06_img0574_det0.png,06,0574,0.04060155271,-0.1625366817,0.71865547393,0.97370601,0.00805303,-0.22766501,-0.187176,-0.54136997,-0.81968498,-0.129852,0.84074599,-0.52562797
Phase3_RGB_Crops/cls10_img0557_det0.png,10,0557,-0.15500721179000002,-0.07603110784,1.05704482579,0.92150301,0.38538799,0.0480449,0.27306101,-0.55495697,-0.78578699,-0.27616999,0.73722398,-0.616629
Phase3_RGB_Crops/cls02_img1102_det0.png,02,1102,0.3387219744,-0.0108383796,0.8906966101,0.24130479,0.97035287,0.01496737,0.84585888,-0.20273862,-0.49341595,-0.47574288,0.13172218,-0.86968453
Phase3_RGB_Crops/cls01_img1125_det0.png,01,1125,-0.02598224712,0.01779535774,0.84426726233,-0.86735898,0.49389401,0.06129,0.37763599,0.73334497,-0.56532902,-0.32416001,-0.46719801,-0.82258499
Phase3_RGB_Crops/cls12_img0545_det0.png,12,0545,0.06477801468,-0.05169997256,0.80707996836,-0.96434599,-0.264644,-0.00097355,-0.206726,0.75558603,-0.62157398,0.165231,-0.59921098,-0.783355
