crop_path,class_id,image_id,x,y,z,R1,R2,R3,R4,R5,R6,R7,R8,R9
RGB_Crops/cls05_img0968_det0.png,05,0968,0.04881189835,0.010887536960000001,0.78611753609,0.0622608,-0.99622297,-0.0605251,-0.60140997,0.0109485,-0.79886502,0.79651099,0.0861384,-0.59845698
RGB_Crops/cls08_img0753_det0.png,08,0753,-0.04163692185,-0.05992963719,0.6546862588300001,-0.956595,0.24997801,-0.149792,0.29142001,0.81894898,-0.49436501,-0.00090803,-0.51656002,-0.856251
RGB_Crops/cls02_img1157_det0.png,02,1157,0.1058913941,-0.02109613551,0.73786450068,-0.50248939,0.82771976,-0.24981202,0.63978319,0.1616249,-0.75138327,-0.58155066,-0.53738056,-0.61077034
RGB_Crops/cls04_img0404_det0.png,04,0404,0.16804494625000002,0.09255428539,0.99344990681,0.97348601,-0.134353,-0.185132,-0.22824501,-0.62406898,-0.74729002,-0.0151341,0.769732,-0.638188
RGB_Crops/cls09_img0295_det0.png,09,0295,-0.0030746325799999997,-0.10314983189,0.7613833661,0.41433701,-0.89350498,0.173127,-0.82769501,-0.449036,-0.33658201,0.37847799,-0.00383766,-0.92560202
RGB_Crops/cls11_img1077_det0.png,11,1077,0.14773443857000002,0.009639768480000001,0.98691456378,-0.28459299,0.94297802,-0.17262401,0.69424403,0.0785543,-0.71543998,-0.661084,-0.323452,-0.67701298
RGB_Crops/cls06_img0745_det0.png,06,0745,-0.02677779328,-0.1182543915,1.0244148984099999,-0.351547,-0.91826701,0.182211,-0.784298,0.18260901,-0.59289998,0.51116699,-0.35134,-0.78439099
RGB_Crops/cls09_img0080_det0.png,09,0080,-0.01942917429,-0.05692279402,1.0572729245499999,0.99413002,-0.104868,-0.0265984,-0.066756,-0.40111601,-0.91359198,0.0851373,0.91000497,-0.40576199
RGB_Crops/cls11_img1072_det0.png,11,1072,0.06650477264,-0.08631518637,0.75022546399,-0.038762,0.989793,0.137141,0.806319,0.112046,-0.58077198,-0.59021002,0.0880672,-0.802432
RGB_Crops/cls10_img0174_det0.png,10,0174,-0.018953526369999998,-0.09044469336000001,1.07975635554,-0.53860098,0.83921099,0.0750577,0.512806,0.39718699,-0.76109898,-0.66853499,-0.371438,-0.64427799
RGB_Crops/cls02_img1102_det0.png,02,1102,0.3387219744,-0.0108383796,0.8906966101,0.24130479,0.97035287,0.01496737,0.84585888,-0.20273862,-0.49341595,-0.47574288,0.13172218,-0.86968453
RGB_Crops/cls01_img1125_det0.png,01,1125,-0.02598224712,0.01779535774,0.84426726233,-0.86735898,0.49389401,0.06129,0.37763599,0.73334497,-0.56532902,-0.32416001,-0.46719801,-0.82258499
