crop_path,class_id,image_id,x,y,z,r6d_1,r6d_2,r6d_3,r6d_4,r6d_5,r6d_6
RGB_Crops/cls05_img0968_det0.png,5,968,0.04881189835,0.01088753696,0.78611753609,0.0622608,-0.99622297,-0.60140997,0.0109485,0.79651099,0.0861384
RGB_Crops/cls08_img0753_det0.png,8,753,-0.04163692185,-0.05992963719,0.6546862588300001,-0.956595,0.24997801,0.29142001,0.81894898,-0.00090803,-0.51656002
RGB_Crops/cls02_img1157_det0.png,2,1157,0.1058913941,-0.02109613551,0.73786450068,-0.50248939,0.82771976,0.63978319,0.1616249,-0.58155066,-0.53738056
RGB_Crops/cls04_img0404_det0.png,4,404,0.16804494625,0.09255428539,0.99344990681,0.97348601,-0.134353,-0.22824501,-0.62406898,-0.0151341,0.769732
RGB_Crops/cls09_img0295_det0.png,9,295,-0.0030746325799999,-0.10314983189,0.7613833661,0.41433701,-0.89350498,-0.82769501,-0.449036,0.37847799,-0.00383766
RGB_Crops/cls11_img1077_det0.png,11,1077,0.14773443857,0.00963976848,0.98691456378,-0.28459299,0.94297802,0.69424403,0.0785543,-0.661084,-0.323452
RGB_Crops/cls06_img0745_det0.png,6,745,-0.02677779328,-0.1182543915,1.02441489841,-0.351547,-0.91826701,-0.784298,0.18260901,0.51116699,-0.35134
RGB_Crops/cls09_img0080_det0.png,9,80,-0.01942917429,-0.05692279402,1.05727292455,0.99413002,-0.104868,-0.066756,-0.40111601,0.0851373,0.91000497
RGB_Crops/cls11_img1072_det0.png,11,1072,0.06650477264,-0.08631518637,0.75022546399,-0.038762,0.989793,0.806319,0.112046,-0.59021002,0.0880672
RGB_Crops/cls10_img0174_det0.png,10,174,-0.0189535263699999,-0.09044469336,1.07975635554,-0.53860098,0.83921099,0.512806,0.39718699,-0.66853499,-0.371438
RGB_Crops/cls02_img1102_det0.png,2,1102,0.3387219744,-0.0108383796,0.8906966101,0.24130479,0.97035287,0.84585888,-0.20273862,-0.47574288,0.13172218
RGB_Crops/cls01_img1125_det0.png,1,1125,-0.02598224712,0.01779535774,0.84426726233,-0.86735898,0.49389401,0.37763599,0.73334497,-0.32416001,-0.46719801
RGB_Crops/cls01_img0914_det0.png,1,914,0.00058071904,-0.08260953586,0.6807986054,0.0536252,-0.97537702,-0.962547,0.00652554,0.26575899,0.220448
RGB_Crops/cls11_img0739_det0.png,11,739,0.05403198199,-0.07627449373,0.74826204436,-0.0737644,-0.993038,-0.996095,0.0688842,0.0485116,-0.0955576
RGB_Crops/cls01_img0221_det0.png,1,221,0.00341050924,-0.03990063309,0.73614914231,0.59987402,0.62459397,-0.00375956,-0.62276101,-0.80008602,0.471223
RGB_Crops/cls06_img0558_det0.png,6,558,0.0867827550399999,-0.14089638853,0.88862124696,0.93405098,-0.0396367,-0.32483399,-0.50733399,-0.148433,0.86083698
RGB_Crops/cls11_img0027_det0.png,11,27,0.09326980097,-0.11375354111,1.01695257011,0.81004602,0.57398802,0.48341599,-0.76940203,-0.331864,0.28028101
RGB_Crops/cls06_img0677_det0.png,6,677,-0.00036185355,-0.09350911793,0.8478493948,0.77701002,-0.62129402,-0.29486501,-0.21714599,0.55615598,0.75288802
RGB_Crops/cls09_img0845_det0.png,9,845,0.10875734099,0.02007611738,1.01605017887,-0.90503901,-0.128033,0.29972401,0.48462701,0.301779,-0.8653
RGB_Crops/cls08_img0920_det0.png,8,920,-0.1390708159799999,-0.13445717047,0.92613978708,-0.87900603,0.43654901,0.344082,0.30234101,-0.330084,-0.84735799
RGB_Crops/cls02_img0384_det0.png,2,384,-0.20498359744,0.07429163986,0.68271431489,-0.44536115,0.80148561,0.86419354,0.2681299,-0.23426955,-0.53458625
RGB_Crops/cls08_img0245_det0.png,8,245,-0.0246367842,0.03634902684,0.92101540343,0.92951202,0.0135038,0.363408,-0.203679,0.0627887,0.97894502
RGB_Crops/cls05_img0979_det0.png,5,979,0.11527120994,-0.03927060281,0.75930791048,0.0572802,-0.955064,-0.68324399,-0.249891,0.72794002,-0.15939499
